0.417895,0.213371,0.181953,0.0919541,
0.407179,0.204952,0.159884,0.0926217,
0.39557,0.20306,0.164723,0.0817308,
0.466196,0.229985,0.164297,0.0863558,
0.434476,0.209859,0.158921,0.0878049,
0.388771,0.199723,0.140089,0.0693548,
0.399788,0.212796,0.166421,0.0987261,
0.4341,0.207906,0.157321,0.0907563,
0.428004,0.220568,0.171223,0.0857143,
0.388947,0.201635,0.162857,0.0886469,
0.439716,0.222222,0.168421,0.0767947,
0.444554,0.245968,0.188133,0.100962,
0.415418,0.218884,0.176471,0.0915142,
0.423913,0.199396,0.14791,0.0877797,
0.388945,0.209363,0.14965,0.07739,
0.392821,0.202156,0.157895,0.0735524,
0.385787,0.181326,0.143059,0.0819423,
0.410516,0.190278,0.151383,0.0818897,
0.462564,0.246043,0.168254,0.0965517,
0.40625,0.220651,0.173913,0.101142,
0.381594,0.210602,0.162614,0.0831947,
0.396842,0.212912,0.157353,0.0904762,
