0085,92.4157,54.0123, 98.3146,40.4321, 75.5618,8.0247, 75.2809,84.2593, 84.8315,96.9136,
0095,93.9813,73.1268, 96.2506,65.4899, 55.2047,15.7061, 93.1919,38.2565, 86.7785,96.4697,
0105,91.3198,72.2555, 91.7626,73.9521, 69.8849,78.9421, 88.4854,64.6707, 70.5049,96.8064,
0115,92.3288,76.0705, 93.0137,82.3678, 56.4384,100.0000, 88.6301,94.3325, 72.7397,100.0000,
0125,94.1653,71.5789, 89.9514,77.7444, 45.3809,74.5865, 81.0373,85.4135, 74.8784,99.5489,
0135,97.5723,60.6419, 96.4162,63.5135, 66.0116,48.3108, 87.6301,82.9392, 86.8208,96.2838,
0145,97.2332,59.8446, 96.8379,65.8031, 68.2806,92.7461, 87.3518,95.8549, 94.0711,89.8964,
0155,96.1783,69.6538, 94.9045,73.3198, 53.1847,10.7943, 82.5902,98.1670, 93.3121,95.1120,
0165,97.6216,62.2951, 93.8378,69.0015, 49.0811,19.6721, 80.4324,92.5484, 87.6757,89.4188,
0175,96.0133,65.3451, 93.6877,70.1909, 85.6035,59.6182, 81.0631,93.9794, 89.3688,97.5037,
0185,93.8095,65.6307, 82.3810,73.4918, 56.6667,39.3053, 53.3333,95.0640, 51.9048,98.5375,
0195,81.4815,63.3010, 61.1111,70.6796, 53.7037,51.0680, 29.6296,99.8058, 16.6667,86.4078,
0205,77.4194,65.9091, 54.8387,70.8333, 0.0000,100.0000, 0.0000,96.0227, 0.0000,100.0000,
0215,70.6522,66.4908, 52.1739,69.1293, 33.6957,82.5858, 45.6522,77.0449, 60.8696,65.8311,
0225,87.1875,67.6622, 86.2500,63.3368, 35.6250,100.0000, 87.8125,70.1339, 83.1250,75.4892,
0235,95.5649,80.9748, 95.0370,72.4843, 31.8902,100.0000, 92.9250,56.7610, 90.9187,96.0692,
0245,97.6648,75.2018, 97.5610,64.5329, 36.0664,13.9562, 96.5750,41.5802, 93.0462,97.6932,
0255,98.1132,65.1961, 99.0716,64.8039, 86.5229,88.1373, 98.6822,69.7059, 98.1731,96.0294,
0265,98.7066,56.8959, 99.3193,59.8428, 61.3569,83.8114, 99.0243,42.4361, 96.4148,95.1670,
0275,97.5761,60.7713, 98.8947,63.1206, 88.7919,56.9592, 97.2659,55.6738, 93.5621,98.5372,
0285,99.3210,62.9472, 99.4989,67.3765, 49.5797,87.7342, 99.1917,60.4770, 97.3327,96.8484,
0295,92.6645,63.8510, 99.0235,62.1911, 23.5178,95.9425, 93.8503,38.6942, 89.3048,92.6226,
